,article_title,article_link,article_date,page
0,В Северном море построят первый в мире искусственный энергоостров,https://knife.media/princess-elisabeth-island/,2023-03-09 19:37:00,1
1,Во Франции случайно нашли редкую картину Брейгеля. Она больше века провисела в частном доме,https://knife.media/village-lawyer/,2023-03-09 18:40:00,1
2,В Берлине женщинам разрешили плавать в бассейнах топлес,https://knife.media/topless-berlin/,2023-03-09 18:01:00,1
3,Японский исследователь создал яйцеклетки из кожи самцов мышей,https://knife.media/male-egg-cell/,2023-03-09 15:20:00,1
4,Ученые научились производить электричество из воздуха с помощью почвенных бактерий,https://knife.media/air-electricity/,2023-03-09 14:26:00,1
5,Палеонтологи обнаружили сосуды динозавра. Они до сих пор заполнены кровью,https://knife.media/dinosaur-veins/,2023-03-09 13:37:00,1
6,"Ученые выяснили, что дружба в пожилом возрасте продлевает жизнь",https://knife.media/friends-live-longer/,2023-03-08 13:41:00,1
7,Предложение дня: получить авангардную открытку о талантливых женщинах и помочь детям,https://knife.media/women-postcard/,2023-03-08 13:25:00,1
8,"Исследование: шмели учатся решать головоломки, наблюдая за сверстниками",https://knife.media/bumblebees-learn/,2023-03-08 13:05:00,1
9,VK покажет голографическую выставку о великих женщинах,https://knife.media/vk-women/,2023-03-08 12:37:00,1
10,Японский стартап отправит туристов в стратосферу. Они достигнут высоты 25 километров,https://knife.media/stratosphere-tourism/,2023-03-08 12:12:00,1
11,В России пройдет просветительский марафон «Международный женский день»,https://knife.media/women-day-marathon/,2023-03-08 11:43:00,1
12,VK покажет серию киноэссе о путешествиях по России,https://knife.media/vk-mesta/,2023-03-07 20:33:00,1
13,Исследование: на Земле почти не осталось мест без опасного загрязнения воздуха,https://knife.media/no-safe-place/,2023-03-07 16:06:00,1
14,Британские зоозащитники предложили ресторанам подавать блюда из белок. Это поможет экологии,https://knife.media/tasty-squirrel/,2023-03-07 14:26:00,1
15,"Япония пересчитала свои острова. Их оказалось на семь тысяч больше, чем раньше",https://knife.media/japan-islands/,2023-03-07 14:04:00,1
16,Археологи нашли сфинкса с лицом римского императора Клавдия,https://knife.media/roman-sphinx/,2023-03-07 13:12:00,1
17,Ученые заставили раковые клетки бороться против рака,https://knife.media/cancer-cells-against-cancer/,2023-03-07 12:48:00,1
18,Исследование: рост людей не менялся последние 2000 лет,https://knife.media/human-height/,2023-03-06 22:57:00,1
19,К 2035 году больше половины людей на планете будут иметь лишний вес,https://knife.media/overweight/,2023-03-06 19:54:00,1
